conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca,agricultură inteligentă adaptată climei,released,knowledge,sector-specific,,"O abordare integrată a gestionării peisajului care vizează creșterea productivității alimentare, creșterea rezistenței culturilor, asigurarea siguranței alimentare și reducerea emisiilor și adaptarea la schimbările climatice.
	",http://data.europa.eu/esco/isced-f/0811,producție vegetală și animală
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,întocmește contracte de performanță energetică,released,skill/competence,sector-specific,acordă consultanță cu privire la responsabilitatea socială a întreprinderilor | face recomandări cu privire la responsabilitatea socială a întreprinderilor,"Elaborează și revizuiește contracte care descriu performanța energetică, asigurându-se, în același timp, că acestea sunt conforme cu cerințele legale.
	",http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,negociază compromisuri | scriu lucrări tehnice sau academice
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05dbdec3-c9d0-4f15-91ad-0700475a0f75,evaluează influența factorilor de mediu asupra picioarelor și copitelor bovinelor,released,skill/competence,occupation-specific,monitorizează influența mediului asupra picioarelor și copitelor bovinelor,"Evaluează mediul și modul în care acesta poate influența sănătatea piciorului picioarelor și copitelor bovinelor. Factorii de mediu includ alimentația, adăpostul și expunerea la mediu.",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303,oferă consultanță pe aspecte de mediu | evaluează impactul de mediu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,energie solară,released,knowledge,cross-sector,tehnologie solară | energie fotovoltaica | STE | energie solară regenerabila,"Energia care provine din lumina și căldura soarelui și care poate fi exploatată și utilizată ca sursă regenerabilă de energie cu ajutorul a diverse tehnologii, cum ar fi energia fotovoltaică (PV) pentru producerea de energie electrică și energia termică solară (STE) pentru producerea de energie termică.",http://data.europa.eu/esco/skill/f8413360-6114-40de-a276-c59b764b9913 | http://data.europa.eu/esco/isced-f/0713,tehnologii de producere a energiei din surse regenerabile | electricitate și energie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062ec888-7fd2-4b1e-860e-4cdcc9503ab3,gestionează eliberarea de autorizații pentru utilizarea resurselor solului,released,skill/competence,sector-specific,,Studiază impactul potențial al utilizării resurselor solului asupra apei și a habitatelor acvatice. Formulează recomandări privind aprobarea sau respingerea autorizațiilor în aceste scopuri.,http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"pregătesc documente pentru contracte, cereri sau permise"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/065ec709-e0f4-407f-91fe-9feab66942be,proiectează sisteme de aspersoare,released,skill/competence,occupation-specific,proiectează sisteme de sprinklere | proiectează dispozitive de stingere a incendiilor,"Proiectează sisteme de aspersoare. Ține seama de aspecte legate de conservarea apei, de caracteristicile de peisagistică existente și propuse, precum și de succesiunea în timp a sistemelor existente.",http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"proiectează materiale, sisteme sau produse industriale"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,efectuează un studiu de fezabilitate privind energia eoliană produsă de sisteme de mici dimensiuni,released,skill/competence,sector-specific,monitorizează planurile de producerea a nutrețului,"Efectuează evaluarea și analiza potențialului sistemelor de energie eoliană de mici dimensiuni. Realizează un studiu standardizat pentru a estima necesarul de energie electrică al clădirii, partea de energie eoliană produsă de sisteme de mici dimensiuni din totalul producției de energie, și efectuează cercetări în scopul sprijinirii procesului de luare a deciziilor.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,elaborează studiul de fezabilitate | analizează operațiuni comerciale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,cultivă culturi pentru biomasă,released,skill/competence,sector-specific,,"Cultivă culturi pentru biomasă, prelucrează culturi pentru biomasă.",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,cultivă terenuri și culturi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07c29939-d5fe-4f7f-8546-f1d02fd352db,inspectează sisteme de însilozare,released,skill/competence,sector-specific,,Inspectează sisteme de însilozare pentru a reduce la minimum orice emisii nocive în timpul utilizării lor.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,respectă standardele și legislația în materie de protecția mediului
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,interpretează date științifice pentru a evalua calitatea apei,released,skill/competence,cross-sector,,"Analizează și interpretează date, precum proprietățile biologice, pentru a cunoaște calitatea apei.",http://data.europa.eu/esco/skill/1aae38c8-f75a-4009-8aa0-c5fa94b06e6b | http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650 | http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078 | http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,"asigură gestionarea operațiunilor de măsurare și testare a calității apei | evaluează date, informații și conținut digital | analizează date științifice | analizează date științifice și medicale"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,politică de mediu,released,knowledge,cross-sector,politica nationala de protectie a mediului | politica locala de protectie a mediului | obiectivele naționale ale politicii de mediu | politica de mediu la nivel național | politica de sustenabilitate a mediului | politica de mediu la nivel internațional | politica internationala de protectie a mediului | instrumentele politicii de mediu | politica locala de mediu,"Politicile locale, naționale și internaționale care vizează promovarea durabilității mediului și dezvoltarea de proiecte care reduc impactul negativ asupra mediului și îmbunătățesc starea mediului.",http://data.europa.eu/esco/isced-f/0521,științele mediului
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085c8851-2354-44ae-98de-367bdde8bf58,comunică cu instalațiile pentru tratarea și eliminarea deșeurilor,released,skill/competence,occupation-specific,,Comunică cu instalațiile care se ocupă de tratarea și eliminarea deșeurilor periculoase sau nepericuloase pentru a asigura o cooperare eficientă în organizarea procedurilor de tratare și eliminare a deșeurilor.,http://data.europa.eu/esco/skill/47f14289-3bcd-4575-9cc1-15c582d1da29 | http://data.europa.eu/esco/skill/a19c5139-1250-4a60-9c31-a3243cca06cc,asigură gestionarea instalației pentru tratarea și eliminarea deșeurilor | comunică cu colegii și clienții
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,asigură conformitatea cu legislația de mediu,released,skill/competence,cross-sector,,Monitorizează activitățile și îndeplinește sarcini prin care asigură respectarea standardelor de protecție a mediului și de durabilitate și modifică activitățile în cazul modificării legislației de mediu. Se asigură de faptul că procesele respectă reglementările în materie de mediu și cele mai bune practici.,http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,asigură conformitatea cu cerințele legale | respectă standardele și legislația în materie de protecția mediului
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a5f6dd-d3dd-4371-9919-6d730f34499c,instalează panouri fotovoltaice,released,skill/competence,occupation-specific,,"Instalează, în condiții de siguranță, panouri fotovoltaice cu ajutorul unui sistem de montare specific și în poziția și cu înclinația definită.",http://data.europa.eu/esco/skill/30b280e7-2468-440b-a78f-f1e7f515d60a,"amplasează materiale, scule sau echipamente"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09473fea-69ea-40dc-9ff4-bbaaff10840e,desfășoară activități de audit tehnic in situ,released,skill/competence,cross-sector,,"Colectează informații structurale, privind sistemele electrice și conexe despre amplasament, prin desfășurarea de activități de audit tehnic in situ. Acestea sunt utilizate pentru proiectarea soluției tehnice, cum ar fi sistemele de energie solară.",http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/15fa3879-ac0e-46e6-ae36-609bae9c19c3 | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a,gândește critic | supraveghează activități operaționale | prelucrează informații calitative
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09c28e46-712a-4c11-a4ae-67ae554ea940,consiliere cu privire la reducerea consumului de substanțe chimice,released,skill/competence,cross-sector,consiliere privind reducerea consumului de substanțe chimice,"Oferă consiliere pentru reducerea utilizării substanțelor chimice precum pesticidele, a emisiilor diverselor substanțe chimice, pentru a limita impactul acestora asupra mediului și a reduce riscul pe care acestea îl prezintă pentru populație. Informează cu privire la reglementările și politicile din domeniu.
	",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,oferă consultanță pe aspecte de mediu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0aabb61b-5382-490a-bf44-375858f9cd3e,tipuri de generatoare pe bază de curenți mareici,released,knowledge,sector-specific,tipuri de convertor de energie a mareelor | TEC | tipuri de turbine mareice | moara de maree | tipuri de convertoare de energie a mareelor | generatoare de curent de maree | tipuri de turbine de maree,"Diferite tipuri de generatoare, cum ar fi turbinele cu flux transversal, turbinele cu flux accelerat, dispozitivele cu efect Venturi sau turbinele mareice de tip „zmeu”. Sunt utilizate pentru a genera energie din curenții de apă, fie din râuri, fie din estuare, profitând de amplitudinea mareelor, precum și din curenții subacvatici din larg.
	",http://data.europa.eu/esco/isced-f/0713,electricitate și energie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ad6d5e8-593f-4191-843c-439b23a468ca,desfășoară activități de audit în domeniul energetic,released,skill/competence,sector-specific,,Analizează și evaluează consumul de energie în mod sistematic pentru a îmbunătăți performanța energetică.,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,gândește critic | analizează operațiuni comerciale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b3ae8c1-771e-4483-b3da-fd420fe6545b,depune eforturi pentru păstrarea compoziției apei,released,skill/competence,occupation-specific,,Depune eforturi să nu modifice în mod inutil compoziția apei atunci când elimină constituenții nedoriți.,http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"operează sisteme sau utilaje pentru prelucrarea petrolului, pentru tratarea apei sau chimice"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b4f100c-813d-4eec-8aa5-4227bb98c635,cerințe legislative referitoare la nave,released,knowledge,sector-specific,convenții OMI | dispoziții legislative din domeniul naval,"Convențiile Organizației Maritime Internaționale (OMI) privind siguranța vieții pe mare, precum și securitatea și protecția mediului marin.",http://data.europa.eu/esco/skill/243ffeb4-3395-4e39-9cf0-695be5b142aa | http://data.europa.eu/esco/isced-f/0421,drept maritim | drept
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0bca9840-478a-40fd-a6c3-c8cc923add98,dezvoltă planuri de management,released,skill/competence,sector-specific,dezvoltă planuri de managementul pescăriilor | elaborează planuri de management al pescuitului,"Dezvoltă planuri de management pentru menținerea resurselor piscicole și a habitatului sau pentru a le reface, atunci când este necesar.",http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"întocmesc planuri financiare, de afaceri sau de marketing"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cf3117a-c627-48e0-8d55-65b0f4557ae5,aplică tehnici durabile de arat,released,skill/competence,sector-specific,implementează aratul sustenabil,"Aplică tehnici durabile de arat, cum ar fi aratul de conservare, sau nu aplică lucrări de arat, pentru a reduce la minimum impactul asupra solului.
	",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,cultivă terenuri și culturi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d0fe364-462d-48dd-b54b-e972e2bdecb1,tipuri de materiale izolante,released,knowledge,cross-sector,,"Diferite tipuri de material izolant și cazurile de utilizare, avantajele, riscurile și costurile acestora.",http://data.europa.eu/esco/isced-f/0732,construcții și lucrări de geniu civil
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,adoptă modalități de reducere a poluării,released,skill/competence,transversal,preferă transportul public în locul celui privat | previne poluarea | folosește transportul public | gestionează propriile deșeuri | reduce zgomotul,"Aplică măsuri de reducere a poluării aerului, a zgomotului, a luminii, a apei sau a mediului, de exemplu prin utilizarea transportului public, prin evitarea generării de deșeuri în mediul natural și prin reducerea emisiilor inutile de lumină și zgomot, în special în timpul nopții.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Aplică aptitudini și competențe legate de mediu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e0b8991-4b24-4bb8-9113-df3ce43c1ff9,oferă consiliere pentru probleme de mediu legate de minerit,released,skill/competence,sector-specific,analizează activitățile centrelor de apel | caută activitățile centrelor de apel | testează activitățile centrelor de apel | examinează activitățile centrelor de apel | investighează activitățile centrelor de apel,"Ofere consiliere inginerilor, inspectorilor, personalului geotehnic și metalurgiștilor în ceea ce privește protecția mediului și reabilitarea terenurilor după activitățile miniere.
	",http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/8df86db8-dfcd-414b-854f-ad1cdb18d733,oferă consiliere altora | oferă consultanță pe aspecte de mediu | comunică referitor la impactul de mediu al mineritului
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e628dde-8d1b-4a1d-b973-a349fe1725c8,efectuează controlul sedimentelor,released,skill/competence,sector-specific,,Gestionează procesele și proiectele de control al sedimentelor. Planifică acțiuni de control al sedimentelor pentru a preveni poluarea căilor navigabile din vecinătate din cauza solului erodat.,http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,"organizează, planifică și programează lucrări și activități"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,utilizarea ecologică a sistemelor TIC,released,knowledge,occupation-specific,,"Utilizarea sistemelor TIC într-un mod responsabil din punct de vedere ecologic și durabil, cum ar fi implementarea unor servere eficiente din punct de vedere energetic și a unor unități centrale de procesare (CPU), reducerea resurselor și eliminarea corectă a deșeurilor electronice.",http://data.europa.eu/esco/isced-f/0712,tehnologia protecției mediului
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e81fcff-2fb5-4c87-afc2-49b5e5d9db50,"operează echipamente specifice instalației de producere, stocare și utilizare a biogazului sau biometanului",released,skill/competence,occupation-specific,,"Operează echipamente care tratează culturile energetice și deșeurile provenite din ferme, numite digestoare anaerobe. Asigură funcționarea corectă a echipamentelor la transformarea biomasei în biogaz, care este utilizat pentru producerea de energie termică și electrică.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"operează sisteme sau utilaje pentru prelucrarea petrolului, pentru tratarea apei sau chimice"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f4cc60e-820e-439d-8810-31a2cc27ada6,utilizează echipamente de dezinfecție a apelor,released,skill/competence,sector-specific,utilizează tehnologii de oxigenare și dezinfecție a apelor piscicole,"Operează echipamente pentru dezinfectarea apei, folosind diferite metode și tehnici, cum ar fi filtrarea mecanică, în funcție de necesități.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"operează sisteme sau utilaje pentru prelucrarea petrolului, pentru tratarea apei sau chimice"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101d63ee-bb22-4a7c-9e0a-c2716063696a,"face evaluări privind starea de sănătate, siguranța și mediul",released,skill/competence,cross-sector,"analizează starea de sănătate, siguranța și mediul","Efectuează evaluări ale sănătății, siguranței și mediului pentru a asigura un mediu de lucru adecvat și condiții adecvate.",http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838 | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176 | http://data.europa.eu/esco/skill/60ccdd6a-c100-43cf-9797-543a5c42b922,supraveghează siguranța și securitatea | respectă măsurile de securitate la locul de muncă | asigură sănătatea și securitatea în procesul de fabricație
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101e6f4c-c892-4812-9e2c-f2b888771bb3,testează elice de turbine eoliene,released,skill/competence,sector-specific,evaluează elice de turbine eoliene,"Testează noi modele de elice de turbine eoliene care sunt destinate utilizării în parcurile eoliene, asigurându-se că elicele sunt funcționale și sigure pentru utilizare în parcul eolian vizat.
	",http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,instalează componente din lemn și metal
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/103f7814-d262-4df6-a1b6-759bc51f76cb,tehnologii durabile,released,knowledge,cross-sector,energie curată | tehnologii verzi,"Tehnologii care au ca scop reducerea riscurilor de mediu și a celor ecologice, realizând, în același timp, un impact economic, social și de mediu pozitiv. Sunt tehnologii inovatoare concepute pentru a preveni, reduce și recupera impactul negativ al umanității asupra planetei.
	",http://data.europa.eu/esco/isced-f/0712,tehnologia protecției mediului
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1063b061-329e-4212-8db4-ab936dc60efc,economie ecologică,released,knowledge,sector-specific,principii ale economiei mediului,"Subdomeniu al economiei, care studiază alocarea eficientă a resurselor de mediu în scopul reducerii la minimum a impactului negativ asupra mediului natural.
	",http://data.europa.eu/esco/isced-f/0311,economie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/108320f7-c8a1-4386-aed9-91054ab05619,elaborează politici agricole,released,skill/competence,cross-sector,,"Elaborează programe pentru dezvoltarea de noi tehnologii și metodologii în agricultură, și dezvoltă și pune în aplicare acțiuni pentru un nivel ridicat de durabilitate și sensibilizare cu privire la aspecte legate de mediu în agricultură.",http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba,elaborează politici și legislație
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034,alianțe sociale,released,knowledge,sector-specific,,"Crearea de parteneriate între diferiți actori (întreprinderi, organizații non-profit sau organizații din sectorul public), prin care aceștia fac schimb de resurse și cunoștințe pentru o cauză comună: de obicei, pentru a rezolva o provocare socială sau de mediu.
	",http://data.europa.eu/esco/isced-f/0314,sociologie și studii culturale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/110d7aa3-e44e-4cce-a927-8d4de615f3d9,sortează deșeuri,released,skill/competence,cross-sector,,Sortează deșeuri manual sau automat prin separarea acestora în diferitele sale elemente.,http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,selectează materiale sau produse
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/111b9dad-b2e0-4b55-8d0f-2e41cb435f64,asigură faptul că aditivii destinați hranei pentru animale nu au efecte nocive,released,skill/competence,occupation-specific,,Se asigură că aditivii destinați hranei pentru animale sunt supuși unei evaluări științifice pentru a se evalua dacă aditivul are efecte nocive asupra sănătății umane sau animale sau asupra mediului.,http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,urmează proceduri de siguranță și sănătate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/114a79ef-1e62-475b-a862-954f5b4cca20,elaborează proceduri de management al deșeurilor,released,skill/competence,sector-specific,,"Dezvoltă echipamente, metode și proceduri care pot fi aplicate în diferite tipuri de stații de tratare și eliminare a deșeurilor, cu scopul de a îmbunătăți eficiența procedurilor de management al deșeurilor, de a reduce impactul asupra mediului și de a menține siguranța personalului implicat în gestionarea deșeurilor.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/73a9561d-112c-4d8a-9d5f-b2c11c5bbd5f,elaborează politici și proceduri operaționale | gestionează deșeuri
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/128f318e-1bc8-4921-821f-b0aad1d98922,stabilește un sistem adecvat de termoficare și răcire,released,skill/competence,sector-specific,determinarea sistemelor care corespund cerințelor nzeb | determinați sistemul hvac care corespunde cerințelor nzeb | determinați sistemul de încălzire și răcire adecvat pentru a se potrivi cerințelor nzeb,"Stabilește sistemul adecvat în raport cu sursele de energie disponibile (sol, gaz, electricitate, centralizate etc.) și care să corespundă cerințelor NZEB.
	",http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,stabilesc obiective și strategii
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12d7ea6f-ec1f-4f9a-a50b-8e2e9693f068,transportul materialelor periculoase,released,knowledge,sector-specific,,"Reglementările și procedurile în materie de siguranță care sunt implicate în transportul de materiale și produse periculoase, cum ar fi deșeurile periculoase, substanțele chimice, explozivii și materialele inflamabile.",http://data.europa.eu/esco/isced-f/1041,servicii de transport
